Model,Algorithm...2,R_squared,RMSE,MAE,MAPE,Algorithm...7,Approach
XGBoost_grid_1_AutoML_1_20230507_112409_model_22,xgboost,0.8361068336049386,23290.339511653543,7560.0358529594405,28.104748945437414,XGBoost,All predictors
XGBoost_grid_1_AutoML_2_20230507_122424_model_31,xgboost,0.8357221808127459,23317.65439008274,7365.983507496773,27.383351248710007,XGBoost,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_37,gbm,0.8354453344271164,23337.293958418297,7043.819938812922,26.18569473049635,GBM,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_9,gbm,0.8349592419499572,23371.737581669684,7896.698505237486,29.35630641230785,GBM,All predictors
GBM_3_AutoML_1_20230507_112409,gbm,0.8348875460018852,23376.81353066881,7576.315837765998,28.16527046871098,GBM,All predictors
DeepLearning_grid_2_AutoML_4_20230507_142453_model_1,deeplearning,0.834624168454077,23395.450751361343,9424.169334074502,35.034742996591845,DeepLearning,Without stand alone
GBM_grid_1_AutoML_2_20230507_122424_model_5,gbm,0.834488352016853,23405.055645320837,6555.0924378310365,24.368829839247187,GBM,Without retrofit
DeepLearning_grid_2_AutoML_3_20230507_132440_model_1,deeplearning,0.8335853919611033,23468.81274249337,9385.84462483513,34.892269289782924,DeepLearning,Without social indicators
StackedEnsemble_BestOfFamily_5_AutoML_4_20230507_142453,stackedensemble,0.8329453617579861,23513.89993293888,6622.656651162299,24.62000262338521,StackedEnsemble,Without stand alone
StackedEnsemble_AllModels_2_AutoML_1_20230507_112409,stackedensemble,0.8321674188865003,23568.58630470382,7268.186778372409,27.01978782478137,StackedEnsemble,All predictors
XGBoost_grid_1_AutoML_3_20230507_132440_model_4,xgboost,0.8317943122378297,23594.769285330494,6828.883012083099,25.386657730892594,XGBoost,Without social indicators
GBM_grid_1_AutoML_2_20230507_122424_model_26,gbm,0.8311338897928409,23641.043730789555,7416.002853854989,27.569300257306605,GBM,Without retrofit
XGBoost_grid_1_AutoML_3_20230507_132440_model_24,xgboost,0.8302951921011381,23699.679328149537,6640.545295321001,24.686504404968403,XGBoost,Without social indicators
GBM_2_AutoML_4_20230507_142453,gbm,0.8302000735638222,23706.320162523865,8023.593001756654,29.828042001476096,GBM,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_35,gbm,0.8300840031821761,23714.42126014505,7177.0795890867375,26.681093044518406,GBM,All predictors
DeepLearning_1_AutoML_4_20230507_142453,deeplearning,0.8299919662932012,23720.84298064199,9692.706653729325,36.033041694927384,DeepLearning,Without stand alone
